dropout,depth,hidden_size,ffn_num_layers,test_AUC
0.30032971060369645,5,550,4,0.7055487670773143
0.07286957220658491,4,450,3,0.7149365503375087
0.1318624103855987,4,350,5,0.7270485735325675
0.40547437831670097,4,450,4,0.6855617819975919
0.4402676182708226,3,500,5,0.7150808234024472
0.2941064436447203,5,400,4,0.5600086917720282
0.11028967016423136,5,600,2,0.7205206956538015
0.046338344756425676,3,300,2,0.7415288042519426
0.46824008811112217,5,300,3,0.5562875513899661
0.2733125574200558,3,350,3,0.7266491474860193
0.38651732853817095,4,400,5,0.7053151814006492
0.12883926398603746,3,450,5,0.7268884659470254
0.25147546022078154,4,300,3,0.7119456021673073
0.47018357225348884,4,350,3,0.6522838100259853
0.274643153933174,4,450,3,0.7188217200479321
0.05904472700338054,3,450,3,0.7209516485702273
0.20053765314052607,3,300,5,0.7199454963719729
0.44384869496166146,5,600,4,0.5393789809965844
0.4458607542571548,4,300,5,0.6155245383312192
0.38386964264631346,3,300,2,0.6938310139001798
0.002220953994623777,3,350,2,0.7259436388833487
0.0024433487637821605,4,350,2,0.7234222958741454
0.16737704211050236,3,550,2,0.7237906160292344
0.051853106630482704,3,500,5,0.717636878264315
0.2031394233341653,4,350,2,0.709305080979718
0.11404511984576197,4,350,2,0.7306112737646231
0.025600815341018022,3,550,2,0.7180591651968001
0.09313999777430373,3,500,2,0.7343123621049618
0.17927094872861632,3,500,2,0.703405151017747
0.3386286888402722,3,500,2,0.715870077181288
0.030512379457564673,3,500,2,0.7299390269134463
0.1538106641880002,3,300,2,0.7256159085303487
0.08543534011607626,3,500,4,0.7276081594944447
0.08001089978077379,5,600,2,0.7347227158702467
0.20640853614655927,5,600,4,0.7339709272404035
0.028749994434758286,5,600,2,0.734882660984932
0.003819817167797116,5,600,2,0.7221553686551341
0.33761554693313794,5,400,4,0.5900102112674519
0.03135436945547668,5,600,2,0.715853343244153
0.13136023481755305,5,550,2,0.7230170309080183
0.24506452278204532,5,400,4,0.6147168960027523
0.059748063218879155,5,300,2,0.7211617529329317
0.2312747246707764,5,600,3,0.7214067893640441
0.15058829953998729,5,300,5,0.6265886385960437
0.49619820120069347,5,450,2,0.568241496935795
0.10800141340404562,5,600,3,0.7098293277122101
0.3155486417710332,3,400,5,0.7185439652338383
0.039613187801422804,5,300,4,0.7240155733788052
0.011725093180125129,4,550,3,0.7199306181340892
0.06713931299008924,3,450,2,0.7296356956947305
0.10355038189438562,5,600,2,0.703252998736578
0.2791618682477076,3,300,5,0.7236141946891769
0.17856302423138895,4,300,2,0.7085493469399724
0.2251543971363681,3,600,3,0.7134662419832174
0.14225483645023868,5,400,4,0.7145252703495106
0.3882671391918637,4,450,2,0.6841006195121991
0.045258385056108796,3,550,5,0.7343694313461416
0.01874149146930406,5,300,2,0.7198671811233703
0.12473499646921361,3,350,3,0.7119110409364398
0.4113069059359489,4,600,2,0.7084116874465909
0.07154805670616432,3,300,2,0.7258853375720535
0.1717711231190805,3,450,5,0.7222402073106611
0.09759903843977372,5,350,2,0.7117922260888818
0.28997922947680393,4,600,4,0.7226635625875877
0.19933083761522372,3,550,2,0.7199655573559505
0.09146963671276169,5,600,2,0.7151583179423013
0.08327995072584948,5,600,2,0.73374239480953
0.05538711537488401,5,600,2,0.7269025644109252
